X,carat,cut,color,clarity,depth,table,price,x,y,z
1,2.01,Fair,G,SI1,70.6,64,18574,7.43,6.64,4.69
2,2.08,Ideal,J,NA,61,55,17986,8.32,8.25,5.05
3,1.22,Ideal,G,VS2,61.4,56,8362,6.9,6.88,4.23
4,0.82,Premium,NA,SI1,62.4,56,NA,6.01,5.98,3.74
5,0.32,Ideal,D,SI1,62.7,54,589,4.35,4.39,2.74
6,0.34,Ideal,E,VS2,62.1,54.1,758,4.47,4.5,2.78
7,0.31,Ideal,H,VS2,62.2,55,628,4.37,4.35,2.71
8,1.21,Very Good,G,VVS2,60.4,56,9878,6.96,6.91,4.19
9,0.93,Very Good,G,SI1,61.7,56,4513,6.22,0.00626,0.00385
10,0.31,Good,H,VVS1,NA,58,707,4.28,4.32,2.72
11,1.71,Very Good,J,VS2,62.6,55,9170,7.58,7.65,4.77
12,1.09,Ideal,F,VVS2,62,56,10196,6.63,6.6,4.1
13,1.52,Ideal,J,VVS2,62.6,58,9541,7.32,7.34,4.59
14,0.58,Good,E,VS1,61.5,61.9,2041,5.3,5.34,3.27
15,0.32,Very Good,G,VS1,62.4,58,645,4.35,4.4,2.73
16,1,Ideal,E,SI2,62.2,52,4808,6.42,6.47,4.01
17,0.3,Ideal,G,VS2,62.3,56,675,4.3,4.27,2.67
18,0.3,Very Good,F,VVS1,62.2,56,832,4.28,4.3,2.67
19,2.01,Premium,J,SI1,60.7,61,12209,8.15,NA,4.93
20,2.02,Premium,I,SI1,62.1,58,11119,8.1,8.04,5.01
21,0.5,Premium,F,SI1,59.6,60,1282,5.12,5.15,3.06
22,0.78,Ideal,I,VS2,61.2,58,2652,5.88,5.92,3.61
23,1.44,Very Good,H,SI2,58.2,61,7128,7.45,7.51,4.35
24,0.94,Ideal,D,SI2,62.2,56,5155,6.24,6.27,3.89
25,0.31,Ideal,G,VS2,60.8,56,500,4.4,4.42,2.68
26,1.01,Premium,D,VVS2,62.4,60,10221,6.31,6.36,3.95
27,0.3,Ideal,E,VS2,61.5,55,65800,4.32,4.4,2.68
28,0.62,Fair,F,SI1,55.1,66,1641,5.85,5.7,3.18
29,0.35,Premium,G,IF,59.1,59,1116,4.62,4.59,2.72
30,0.31,Premium,G,VS2,61.5,59,698,4.35,4.33,2.67
31,2.07,NA,F,SI2,60.5,57,13373,8.28,8.21,4.99
32,2.05,Premium,J,NA,60.1,58,15067,8.25,8.19,4.94
33,0.53,Very Good,F,VS2,60.5,55,1610,5.24,5.29,3.19
34,0.53,Ideal,F,IF,61.9,54,2802,5.22,5.25,3.24
35,0.29,Ideal,G,IF,62,56,673,4.23,4.27,2.63
36,2.01,Fair,F,SI1,58.6,95,13387,8.32,8.31,4.87
37,0.4,Very Good,E,SI1,63.2,56,882,4.74,4.69,2.98
38,1.2,Premium,H,SI1,61.2,57,6129,6.91,6.78,4.19
39,0.3,Premium,D,VS2,62.5,58,911,4.29,4.26,2.67
40,1.53,Premium,I,VS1,61.2,59,10282,7.41,7.39,4.53
41,1.01,Premium,D,SI1,60,59,5780,6.51,6.45,3.89
42,0.84,Premium,G,SI2,62.6,58,2573,6.01,5.98,3.75
43,0.8,Very Good,G,SI2,63,55,2616,5.92,5.95,3.74
44,0.27,Very Good,F,VVS2,61.8,56,682,4.19,4.2,2.6
45,0.7,Premium,F,VS2,60.9,61,2838,5.71,5.66,3.46
46,1.66,Ideal,H,VS2,60.1,59,12244,7.67,7.64,4.6
47,0.41,Ideal,F,VS2,61.8,57,863,4.75,4.79,2.95
48,1.21,Premium,F,VS1,61.3,57,8879,6.9,6.86,4.22
49,0.54,Good,D,SI2,59.1,65,1377,5.28,5.32,3.13
50,NA,Very Good,H,VVS2,62.6,56,6249,6.36,6.39,3.99
51,0.31,Ideal,F,VVS1,62.4,54,840,4.33,4.35,2.71
52,0.8,Premium,G,IF,62.6,58,4193,5.93,5.89,3.7
53,0.7,Good,F,SI1,64.3,63,2059,5.58,5.55,3.58
54,1.28,Ideal,G,SI2,61.1,58,6548,6.98,7.03,4.28
55,0.24,Ideal,F,VS2,62.2,57,419,3.96,4.01,2.48
56,0.7,Ideal,E,SI2,62,56,2061,5.71,5.74,3.55
57,0.51,Very Good,G,VS2,62.3,59,1438,5.07,5.1,3.17
58,0.32,Premium,D,VVS1,62,60,910,4.37,4.4,2.72
59,1.01,Very Good,I,NA,63.3,59,2730,6.26,6.22,3.95
60,0.35,Fair,D,VVS2,53.2,62,1011,4.87,4.8,2.57
61,0.4,Ideal,G,VVS1,62.4,54,1043,4.73,4.75,2.96
62,1.01,Premium,D,SI2,61.8,60,4672,6.41,6.37,3.95
63,0.62,Premium,NA,VS1,62.9,58,1770,5.41,5.37,3.39
64,0.27,Very Good,E,VS1,63.8,60,407,4.03,4.09,2.59
65,0.47,Ideal,F,VVS1,61.9,55,1779,4.98,5,3.09
66,0.74,Ideal,D,VS1,61.3,57,3812,5.8,5.84,3.57
67,1.5,Fair,I,I1,71.3,58,4368,6.85,6.81,4.87
68,0.44,Very Good,E,VVS2,60.7,57,1274,4.9,4.92,2.98
69,0.4,Good,E,SI1,63.7,56,882,4.69,4.66,2.98
70,0.56,Fair,E,VVS2,57.3,60,2426,5.5,5.57,3.17
71,1.51,Ideal,H,VS2,61.9,59,11696,7.29,7.34,4.53
72,0.47,Ideal,E,VS1,61.2,56,1872,5.01,5.05,NA
73,0.9,Fair,G,SI1,65.2,59,3250,6.05,6.01,3.93
74,1.02,Ideal,F,VS1,60.7,56,7091,6.53,6.61,NA
75,0.31,Ideal,D,SI1,62,55,732,4.38,4.36,2.71
76,NA,Ideal,H,SI1,61.7,57,5047,6.45,6.48,3.99
NA,0.7,Very Good,G,VS2,58.2,59,2513,5.87,5.95,3.44
